,0,1
0,204,332
1,204,344
2,204,356
3,204,368
4,204,380
5,204,392
6,204,404
7,204,416
8,204,428
9,204,440
10,204,452
11,204,464
12,204,476
13,204,488
14,204,500
15,204,512
16,204,524
17,204,536
18,204,548
19,204,560
20,204,572
21,204,584
22,204,596
23,204,608
24,204,620
25,204,632
26,204,644
27,204,656
28,204,668
29,204,680
30,204,692
31,216,332
32,216,344
33,216,356
34,216,368
35,216,380
36,216,392
37,216,404
38,216,416
39,216,428
40,216,440
41,216,452
42,216,464
43,216,476
44,216,488
45,216,500
46,216,512
47,216,524
48,216,536
49,216,548
50,216,560
51,216,572
52,216,584
53,216,596
54,216,608
55,216,620
56,216,632
57,216,644
58,216,656
59,216,668
60,216,680
61,216,692
62,228,332
63,228,344
64,228,356
65,228,368
66,228,380
67,228,392
68,228,404
69,228,416
70,228,428
71,228,440
72,228,452
73,228,464
74,228,476
75,228,488
76,228,500
77,228,512
78,228,524
79,228,536
80,228,548
81,228,560
82,228,572
83,228,584
84,228,596
85,228,608
86,228,620
87,228,632
88,228,644
89,228,656
90,228,668
91,228,680
92,228,692
93,240,332
94,240,344
95,240,356
96,240,368
97,240,380
98,240,392
99,240,404
100,240,416
101,240,428
102,240,440
103,240,452
104,240,464
105,240,476
106,240,488
107,240,500
108,240,512
109,240,524
110,240,536
111,240,548
112,240,560
113,240,572
114,240,584
115,240,596
116,240,608
117,240,620
118,240,632
119,240,644
120,240,656
121,240,668
122,240,680
123,240,692
124,252,332
125,252,344
126,252,356
127,252,368
128,252,380
129,252,392
130,252,404
131,252,416
132,252,428
133,252,440
134,252,452
135,252,464
136,252,476
137,252,488
138,252,500
139,252,512
140,252,524
141,252,536
142,252,548
143,252,560
144,252,572
145,252,584
146,252,596
147,252,608
148,252,620
149,252,632
150,252,644
151,252,656
152,252,668
153,252,680
154,252,692
155,264,332
156,264,344
157,264,356
158,264,368
159,264,380
160,264,392
161,264,404
162,264,416
163,264,428
164,264,440
165,264,452
166,264,464
167,264,476
168,264,488
169,264,500
170,264,512
171,264,524
172,264,536
173,264,548
174,264,560
175,264,572
176,264,584
177,264,596
178,264,608
179,264,620
180,264,632
181,264,644
182,264,656
183,264,668
184,264,680
185,264,692
186,276,332
187,276,344
188,276,356
189,276,368
190,276,380
191,276,392
192,276,404
193,276,416
194,276,428
195,276,440
196,276,452
197,276,464
198,276,476
199,276,488
200,276,500
201,276,512
202,276,524
203,276,536
204,276,548
205,276,560
206,276,572
207,276,584
208,276,596
209,276,608
210,276,620
211,276,632
212,276,644
213,276,656
214,276,668
215,276,680
216,276,692
217,288,332
218,288,344
219,288,356
220,288,368
221,288,380
222,288,392
223,288,404
224,288,416
225,288,428
226,288,440
227,288,452
228,288,464
229,288,476
230,288,488
231,288,500
232,288,512
233,288,524
234,288,536
235,288,548
236,288,560
237,288,572
238,288,584
239,288,596
240,288,608
241,288,620
242,288,632
243,288,644
244,288,656
245,288,668
246,288,680
247,288,692
248,300,332
249,300,344
250,300,356
251,300,368
252,300,380
253,300,392
254,300,404
255,300,416
