,0,1
626,444,404
627,444,416
628,444,428
629,444,440
630,444,452
631,444,464
632,444,476
633,444,488
634,444,500
635,444,512
636,444,524
637,444,536
638,444,548
639,444,560
640,444,572
641,444,584
642,444,596
643,444,608
644,444,620
645,444,632
646,444,644
647,444,656
648,444,668
649,444,680
650,444,692
651,456,332
652,456,344
653,456,356
654,456,368
655,456,380
656,456,392
657,456,404
658,456,416
659,456,428
660,456,440
661,456,452
662,456,464
663,456,476
664,456,488
665,456,500
666,456,512
667,456,524
668,456,536
669,456,548
670,456,560
671,456,572
672,456,584
673,456,596
674,456,608
675,456,620
676,456,632
677,456,644
678,456,656
679,456,668
680,456,680
681,456,692
682,468,332
683,468,344
684,468,356
685,468,368
686,468,380
687,468,392
688,468,404
689,468,416
690,468,428
691,468,440
692,468,452
693,468,464
694,468,476
695,468,488
696,468,500
697,468,512
698,468,524
699,468,536
700,468,548
701,468,560
702,468,572
703,468,584
704,468,596
705,468,608
706,468,620
707,468,632
708,468,644
709,468,656
710,468,668
711,468,680
712,468,692
713,480,332
714,480,344
715,480,356
716,480,368
717,480,380
718,480,392
719,480,404
720,480,416
721,480,428
722,480,440
723,480,452
724,480,464
725,480,476
726,480,488
727,480,500
728,480,512
729,480,524
730,480,536
731,480,548
732,480,560
733,480,572
734,480,584
735,480,596
736,480,608
737,480,620
738,480,632
739,480,644
740,480,656
741,480,668
742,480,680
743,480,692
744,492,332
745,492,344
746,492,356
747,492,368
748,492,380
749,492,392
750,492,404
751,492,416
752,492,428
753,492,440
754,492,452
755,492,464
756,492,476
757,492,488
758,492,500
759,492,512
760,492,524
761,492,536
762,492,548
763,492,560
764,492,572
765,492,584
766,492,596
767,492,608
768,492,620
769,492,632
770,492,644
771,492,656
772,492,668
773,492,680
774,492,692
775,504,332
776,504,344
777,504,356
778,504,368
779,504,380
780,504,392
781,504,404
782,504,416
783,504,428
784,504,440
785,504,452
786,504,464
787,504,476
788,504,488
789,504,500
790,504,512
791,504,524
792,504,536
793,504,548
794,504,560
795,504,572
796,504,584
797,504,596
798,504,608
799,504,620
800,504,632
801,504,644
802,504,656
803,504,668
804,504,680
805,504,692
806,516,332
807,516,344
808,516,356
809,516,368
810,516,380
811,516,392
812,516,404
813,516,416
814,516,428
815,516,440
816,516,452
817,516,464
818,516,476
819,516,488
820,516,500
821,516,512
822,516,524
823,516,536
824,516,548
825,516,560
826,516,572
827,516,584
828,516,596
829,516,608
830,516,620
831,516,632
832,516,644
833,516,656
834,516,668
835,516,680
836,516,692
837,528,332
838,528,344
839,528,356
840,528,368
841,528,380
842,528,392
843,528,404
844,528,416
845,528,428
846,528,440
847,528,452
848,528,464
849,528,476
850,528,488
851,528,500
852,528,512
853,528,524
854,528,536
855,528,548
856,528,560
857,528,572
858,528,584
859,528,596
860,528,608
861,528,620
862,528,632
863,528,644
864,528,656
865,528,668
866,528,680
867,528,692
868,540,332
869,540,344
870,540,356
871,540,368
872,540,380
873,540,392
874,540,404
875,540,416
876,540,428
877,540,440
878,540,452
879,540,464
880,540,476
881,540,488
882,540,500
883,540,512
884,540,524
885,540,536
886,540,548
887,540,560
888,540,572
889,540,584
890,540,596
891,540,608
892,540,620
893,540,632
894,540,644
895,540,656
896,540,668
897,540,680
898,540,692
899,552,332
900,552,344
901,552,356
902,552,368
903,552,380
904,552,392
905,552,404
906,552,416
907,552,428
908,552,440
909,552,452
910,552,464
911,552,476
912,552,488
913,552,500
914,552,512
915,552,524
916,552,536
917,552,548
918,552,560
919,552,572
920,552,584
921,552,596
922,552,608
923,552,620
924,552,632
925,552,644
926,552,656
927,552,668
928,552,680
929,552,692
930,564,332
931,564,344
932,564,356
933,564,368
934,564,380
935,564,392
936,564,404
937,564,416
938,564,428
939,564,440
940,564,452
941,564,464
942,564,476
943,564,488
944,564,500
945,564,512
946,564,524
947,564,536
948,564,548
949,564,560
950,564,572
951,564,584
952,564,596
953,564,608
954,564,620
955,564,632
956,564,644
957,564,656
958,564,668
959,564,680
960,564,692
